,DataSetName,NominalEncoder,OrdinalEncoder,Score,Roc_auc_score
151,Adult,HashingEncoder,HelmertEncoder,0.7950951487536854,0.7285936057943101
152,Adult,HashingEncoder,LabelEncoder,0.7940900562851783,0.7259258005296737
153,Adult,HashingEncoder,JamesSteinEncoder,0.7955641919056553,0.7289052154809198
154,Adult,HashingEncoder,BaseNEncoder,0.7963012597158938,0.7305767475221701
155,Adult,HashingEncoder,HashingEncoder,0.794961136424551,0.7277772761927691
156,Adult,HashingEncoder,SumEncoder,0.7938220316269097,0.7251113518719152
157,Adult,HashingEncoder,OneHotEncoder,0.793487000804074,0.7257978963524738
158,Adult,HashingEncoder,FrequencyEncoder,0.7891316001072098,0.7231771146823963
159,Adult,HashingEncoder,TargetEncoder,0.7955641919056553,0.7289052154809198
160,Adult,SumEncoder,BinaryEncoder,0.8060171535781292,0.7464863970145661
161,Adult,SumEncoder,HelmertEncoder,0.8057491289198606,0.7451264746599253
162,Adult,SumEncoder,LabelEncoder,0.8074912891986062,0.7481930400064203
163,Adult,SumEncoder,JamesSteinEncoder,0.8095014741356205,0.7488921241121946
164,Adult,SumEncoder,BaseNEncoder,0.8060171535781292,0.7464863970145661
165,Adult,SumEncoder,HashingEncoder,0.8080943446797105,0.747502733638297
166,Adult,SumEncoder,SumEncoder,0.8065532028946663,0.7458424872597407
167,Adult,SumEncoder,OneHotEncoder,0.8066872152238006,0.7458406063159584
168,Adult,SumEncoder,FrequencyEncoder,0.8066202090592335,0.7435232835761004
169,Adult,SumEncoder,TargetEncoder,0.8095014741356205,0.7488921241121946
170,Adult,OneHotEncoder,BinaryEncoder,0.8083623693379791,0.7485899191444966
171,Adult,OneHotEncoder,HelmertEncoder,0.8076253015277406,0.7468274748204327
172,Adult,OneHotEncoder,LabelEncoder,0.8080273385151434,0.7484582530797319
173,Adult,OneHotEncoder,JamesSteinEncoder,0.8117126775663361,0.7519066500140444
174,Adult,OneHotEncoder,BaseNEncoder,0.8083623693379791,0.7485899191444966
175,Adult,OneHotEncoder,HashingEncoder,0.8083623693379791,0.748771743710124
176,Adult,OneHotEncoder,SumEncoder,0.8084293755025462,0.7485435225311985
177,Adult,OneHotEncoder,OneHotEncoder,0.8076253015277406,0.7475547730829422
178,Adult,OneHotEncoder,FrequencyEncoder,0.807357276869472,0.7441038682235864
179,Adult,OneHotEncoder,TargetEncoder,0.8117126775663361,0.7519066500140444
180,Adult,FrequencyEncoder,BinaryEncoder,0.8062851782363978,0.7457553368644919
181,Adult,FrequencyEncoder,HelmertEncoder,0.8052130796033236,0.7438612264756631
182,Adult,FrequencyEncoder,LabelEncoder,0.8062181720718307,0.7460744703262309
183,Adult,FrequencyEncoder,JamesSteinEncoder,0.8071562583757705,0.7461522160025681
184,Adult,FrequencyEncoder,BaseNEncoder,0.8062851782363978,0.7457553368644919
185,Adult,FrequencyEncoder,HashingEncoder,0.807826320021442,0.7464155481320974
186,Adult,FrequencyEncoder,SumEncoder,0.8080273385151434,0.7470945688375267
187,Adult,FrequencyEncoder,OneHotEncoder,0.8071562583757705,0.7455158300228721
188,Adult,FrequencyEncoder,FrequencyEncoder,0.8080943446797105,0.7457754002648369
189,Adult,FrequencyEncoder,TargetEncoder,0.8071562583757705,0.7461522160025681
190,Adult,TargetEncoder,BinaryEncoder,0.8115116590726347,0.750136681914851
191,Adult,TargetEncoder,HelmertEncoder,0.8089654248190834,0.7476268759279323
192,Adult,TargetEncoder,LabelEncoder,0.8106405789332619,0.7511034870189799
193,Adult,TargetEncoder,JamesSteinEncoder,0.8105065666041276,0.7488325608924202
194,Adult,TargetEncoder,BaseNEncoder,0.8115116590726347,0.750136681914851
195,Adult,TargetEncoder,HashingEncoder,0.8090324309836505,0.7473986547490068
196,Adult,TargetEncoder,SumEncoder,0.8086974001608148,0.7471760764014284
197,Adult,TargetEncoder,OneHotEncoder,0.8117796837309033,0.7508602182897957
198,Adult,TargetEncoder,FrequencyEncoder,0.8079603323505763,0.7468682286023836
199,Adult,TargetEncoder,TargetEncoder,0.8105065666041276,0.7488325608924202
200,Nursery,BinaryEncoder,BinaryEncoder,0.03530512041150339,0.2757377627534244
201,Nursery,BinaryEncoder,HelmertEncoder,0.03530512041150339,0.2757246692867417
202,Nursery,BinaryEncoder,LabelEncoder,0.03530512041150339,0.2757377627534244
203,Nursery,BinaryEncoder,JamesSteinEncoder,0.2684124386252046,0.45129862823588573
204,Nursery,BinaryEncoder,BaseNEncoder,0.03530512041150339,0.2757377627534244
205,Nursery,BinaryEncoder,HashingEncoder,0.14098667290156652,0.3549270503529159
206,Nursery,BinaryEncoder,SumEncoder,0.03530512041150339,0.27574607801581025
207,Nursery,BinaryEncoder,OneHotEncoder,0.03530512041150339,0.2757370180656997
208,Nursery,BinaryEncoder,FrequencyEncoder,0.2684124386252046,0.45129862823588573
209,Nursery,BinaryEncoder,TargetEncoder,0.2684124386252046,0.45129862823588573
210,Nursery,HelmertEncoder,BinaryEncoder,0.03530512041150339,0.2757475673912596
211,Nursery,HelmertEncoder,HelmertEncoder,0.03530512041150339,0.27576239846263323
212,Nursery,HelmertEncoder,LabelEncoder,0.03530512041150339,0.2757385074411491
213,Nursery,HelmertEncoder,JamesSteinEncoder,0.2684124386252046,0.45129862823588573
214,Nursery,HelmertEncoder,BaseNEncoder,0.03530512041150339,0.2757475673912596
215,Nursery,HelmertEncoder,HashingEncoder,0.14098667290156652,0.35492655389443284
216,Nursery,HelmertEncoder,SumEncoder,0.03530512041150339,0.27572013931168643
217,Nursery,HelmertEncoder,OneHotEncoder,0.03530512041150339,0.2757151128781481
