,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score
231,bridges,T-OR-D,Nominal,BaseNEncoder,,2,0.6571428571428571
232,bridges,T-OR-D,Nominal,SumEncoder,,2,0.6571428571428571
233,bridges,T-OR-D,Nominal,JamesSteinEncoder,,2,0.6571428571428571
234,bridges,T-OR-D,Nominal,FrequencyEncoder,,2,0.6571428571428571
235,bridges,T-OR-D,Nominal,TargetEncoder,,2,0.6571428571428571
236,bridges,T-OR-D,Nominal,BinaryEncoder,,2,0.6571428571428571
237,bridges,T-OR-D,Nominal,HelmertEncoder,,2,0.6571428571428571
238,bridges,T-OR-D,Nominal,OneHotEncoder,,2,0.6571428571428571
239,bridges,T-OR-D,Nominal,HashingEncoder,,2,0.6571428571428571
240,car1,maint,Ordinal,LabelEncoder,,5,0.23157894736842105
241,car1,maint,Ordinal,BaseNEncoder,,5,0.23157894736842105
242,car1,maint,Ordinal,SumEncoder,,5,0.23157894736842105
243,car1,maint,Ordinal,JamesSteinEncoder,,5,0.25087719298245614
244,car1,maint,Ordinal,FrequencyEncoder,,5,0.25087719298245614
245,car1,maint,Ordinal,TargetEncoder,,5,0.25087719298245614
246,car1,maint,Ordinal,BinaryEncoder,,5,0.23157894736842105
247,car1,maint,Ordinal,HelmertEncoder,,5,0.23157894736842105
248,car1,maint,Ordinal,OneHotEncoder,,5,0.23157894736842105
249,car1,maint,Ordinal,HashingEncoder,,5,0.25263157894736843
250,car1,lug_boot,Ordinal,LabelEncoder,,4,0.23157894736842105
251,car1,lug_boot,Ordinal,BaseNEncoder,,4,0.23157894736842105
252,car1,lug_boot,Ordinal,SumEncoder,,4,0.23157894736842105
253,car1,lug_boot,Ordinal,JamesSteinEncoder,,4,0.23157894736842105
254,car1,lug_boot,Ordinal,FrequencyEncoder,,4,0.23157894736842105
255,car1,lug_boot,Ordinal,TargetEncoder,,4,0.23157894736842105
256,car1,lug_boot,Ordinal,BinaryEncoder,,4,0.23157894736842105
257,car1,lug_boot,Ordinal,HelmertEncoder,,4,0.23157894736842105
258,car1,lug_boot,Ordinal,OneHotEncoder,,4,0.23157894736842105
259,car1,lug_boot,Ordinal,HashingEncoder,,4,0.28771929824561404
260,car1,buying,Nominal,LabelEncoder,,4,0.21228070175438596
261,car1,buying,Nominal,BaseNEncoder,,4,0.21228070175438596
262,car1,buying,Nominal,SumEncoder,,4,0.21228070175438596
263,car1,buying,Nominal,JamesSteinEncoder,,4,0.23157894736842105
264,car1,buying,Nominal,FrequencyEncoder,,4,0.2649122807017544
265,car1,buying,Nominal,TargetEncoder,,4,0.2631578947368421
266,car1,buying,Nominal,BinaryEncoder,,4,0.21228070175438596
267,car1,buying,Nominal,HelmertEncoder,,4,0.21228070175438596
268,car1,buying,Nominal,OneHotEncoder,,4,0.21228070175438596
269,car1,buying,Nominal,HashingEncoder,,4,0.2789473684210526
270,titanic,Pclass,Ordinal,LabelEncoder,,3,0.6406779661016949
271,titanic,Pclass,Ordinal,BaseNEncoder,,3,0.6406779661016949
272,titanic,Pclass,Ordinal,SumEncoder,,3,0.6406779661016949
273,titanic,Pclass,Ordinal,JamesSteinEncoder,,3,0.6406779661016949
274,titanic,Pclass,Ordinal,FrequencyEncoder,,3,0.6406779661016949
275,titanic,Pclass,Ordinal,TargetEncoder,,3,0.6406779661016949
276,titanic,Pclass,Ordinal,BinaryEncoder,,3,0.6406779661016949
277,titanic,Pclass,Ordinal,HelmertEncoder,,3,0.6406779661016949
278,titanic,Pclass,Ordinal,OneHotEncoder,,3,0.6406779661016949
279,titanic,Pclass,Ordinal,HashingEncoder,,3,0.6406779661016949
280,titanic,Embarked,Nominal,LabelEncoder,,3,0.6372881355932203
281,titanic,Embarked,Nominal,BaseNEncoder,,3,0.6440677966101694
282,titanic,Embarked,Nominal,SumEncoder,,3,0.6372881355932203
283,titanic,Embarked,Nominal,JamesSteinEncoder,,3,0.6271186440677966
284,titanic,Embarked,Nominal,FrequencyEncoder,,3,0.6372881355932203
285,titanic,Embarked,Nominal,TargetEncoder,,3,0.6271186440677966
286,titanic,Embarked,Nominal,BinaryEncoder,,3,0.6440677966101694
287,titanic,Embarked,Nominal,HelmertEncoder,,3,0.6305084745762712
288,titanic,Embarked,Nominal,OneHotEncoder,,3,0.6372881355932203
289,titanic,Embarked,Nominal,HashingEncoder,,3,0.6203389830508474
290,titanic,Name,Nominal,LabelEncoder,,891,0.6542372881355932
291,titanic,Name,Nominal,BaseNEncoder,,891,0.6440677966101694
292,titanic,Name,Nominal,SumEncoder,,891,0.6406779661016949
293,titanic,Name,Nominal,JamesSteinEncoder,,891,0.6271186440677966
294,titanic,Name,Nominal,FrequencyEncoder,,891,0.6271186440677966
295,titanic,Name,Nominal,TargetEncoder,,891,0.6271186440677966
296,titanic,Name,Nominal,BinaryEncoder,,891,0.6440677966101694
297,titanic,Name,Nominal,HelmertEncoder,,891,0.6610169491525424
298,titanic,Name,Nominal,OneHotEncoder,,891,0.6508474576271186
299,titanic,Name,Nominal,HashingEncoder,,891,0.6271186440677966
300,titanic,Sex,Nominal,LabelEncoder,,2,0.7830508474576271
301,titanic,Sex,Nominal,BaseNEncoder,,2,0.7830508474576271
302,titanic,Sex,Nominal,SumEncoder,,2,0.7796610169491526
303,titanic,Sex,Nominal,JamesSteinEncoder,,2,0.7864406779661017
304,titanic,Sex,Nominal,FrequencyEncoder,,2,0.7830508474576271
305,titanic,Sex,Nominal,TargetEncoder,,2,0.7864406779661017
306,titanic,Sex,Nominal,BinaryEncoder,,2,0.7830508474576271
307,titanic,Sex,Nominal,HelmertEncoder,,2,0.7661016949152543
308,titanic,Sex,Nominal,OneHotEncoder,,2,0.7796610169491526
309,titanic,Sex,Nominal,HashingEncoder,,2,0.6406779661016949
310,titanic,PassengerId,Nominal,LabelEncoder,,891,0.6067796610169491
311,titanic,PassengerId,Nominal,BaseNEncoder,,891,0.6067796610169491
312,titanic,PassengerId,Nominal,SumEncoder,,891,0.6067796610169491
313,titanic,PassengerId,Nominal,JamesSteinEncoder,,891,0.6067796610169491
314,titanic,PassengerId,Nominal,FrequencyEncoder,,891,0.6271186440677966
315,titanic,PassengerId,Nominal,TargetEncoder,,891,0.6067796610169491
316,titanic,PassengerId,Nominal,BinaryEncoder,,891,0.6067796610169491
317,titanic,PassengerId,Nominal,HelmertEncoder,,891,0.6067796610169491
318,titanic,PassengerId,Nominal,OneHotEncoder,,891,0.6067796610169491
319,titanic,PassengerId,Nominal,HashingEncoder,,891,0.6067796610169491
320,titanic,Ticket,Nominal,LabelEncoder,,681,0.6576271186440678
321,titanic,Ticket,Nominal,BaseNEncoder,,681,0.5559322033898305
322,titanic,Ticket,Nominal,SumEncoder,,681,0.6237288135593221
323,titanic,Ticket,Nominal,JamesSteinEncoder,,681,0.9355932203389831
324,titanic,Ticket,Nominal,FrequencyEncoder,,681,0.6406779661016949
325,titanic,Ticket,Nominal,TargetEncoder,,681,0.7254237288135593
