,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score,nuuniquevalues
298,heart,cp,Nominal,OneHotEncoder,BaseNEncoder,0.74,4.0
299,heart,cp,Nominal,OneHotEncoder,OneHotEncoder,0.74,4.0
300,heart,thal,Ordinal,BinaryEncoder,BinaryEncoder,0.74,4.0
301,heart,thal,Ordinal,BinaryEncoder,JamesSteinEncoder,0.74,4.0
302,heart,thal,Ordinal,BinaryEncoder,SumEncoder,0.74,4.0
303,heart,thal,Ordinal,BinaryEncoder,HashingEncoder,0.74,4.0
304,heart,thal,Ordinal,BinaryEncoder,LabelEncoder,0.74,4.0
305,heart,thal,Ordinal,BinaryEncoder,TargetEncoder,0.74,4.0
306,heart,thal,Ordinal,BinaryEncoder,HelmertEncoder,0.74,4.0
307,heart,thal,Ordinal,BinaryEncoder,FrequencyEncoder,0.75,4.0
308,heart,thal,Ordinal,BinaryEncoder,BaseNEncoder,0.74,4.0
309,heart,thal,Ordinal,BinaryEncoder,OneHotEncoder,0.74,4.0
310,heart,thal,Ordinal,JamesSteinEncoder,BinaryEncoder,0.74,4.0
311,heart,thal,Ordinal,JamesSteinEncoder,JamesSteinEncoder,0.74,4.0
312,heart,thal,Ordinal,JamesSteinEncoder,SumEncoder,0.74,4.0
313,heart,thal,Ordinal,JamesSteinEncoder,HashingEncoder,0.74,4.0
314,heart,thal,Ordinal,JamesSteinEncoder,LabelEncoder,0.74,4.0
315,heart,thal,Ordinal,JamesSteinEncoder,TargetEncoder,0.74,4.0
316,heart,thal,Ordinal,JamesSteinEncoder,HelmertEncoder,0.74,4.0
317,heart,thal,Ordinal,JamesSteinEncoder,FrequencyEncoder,0.75,4.0
318,heart,thal,Ordinal,JamesSteinEncoder,BaseNEncoder,0.74,4.0
319,heart,thal,Ordinal,JamesSteinEncoder,OneHotEncoder,0.74,4.0
320,heart,thal,Ordinal,SumEncoder,BinaryEncoder,0.74,4.0
321,heart,thal,Ordinal,SumEncoder,JamesSteinEncoder,0.74,4.0
322,heart,thal,Ordinal,SumEncoder,SumEncoder,0.74,4.0
323,heart,thal,Ordinal,SumEncoder,HashingEncoder,0.74,4.0
324,heart,thal,Ordinal,SumEncoder,LabelEncoder,0.74,4.0
325,heart,thal,Ordinal,SumEncoder,TargetEncoder,0.74,4.0
326,heart,thal,Ordinal,SumEncoder,HelmertEncoder,0.74,4.0
327,heart,thal,Ordinal,SumEncoder,FrequencyEncoder,0.75,4.0
328,heart,thal,Ordinal,SumEncoder,BaseNEncoder,0.74,4.0
329,heart,thal,Ordinal,SumEncoder,OneHotEncoder,0.74,4.0
330,heart,thal,Ordinal,HashingEncoder,BinaryEncoder,0.74,4.0
331,heart,thal,Ordinal,HashingEncoder,JamesSteinEncoder,0.74,4.0
332,heart,thal,Ordinal,HashingEncoder,SumEncoder,0.74,4.0
333,heart,thal,Ordinal,HashingEncoder,HashingEncoder,0.74,4.0
334,heart,thal,Ordinal,HashingEncoder,LabelEncoder,0.74,4.0
335,heart,thal,Ordinal,HashingEncoder,TargetEncoder,0.74,4.0
336,heart,thal,Ordinal,HashingEncoder,HelmertEncoder,0.74,4.0
337,heart,thal,Ordinal,HashingEncoder,FrequencyEncoder,0.75,4.0
338,heart,thal,Ordinal,HashingEncoder,BaseNEncoder,0.74,4.0
339,heart,thal,Ordinal,HashingEncoder,OneHotEncoder,0.74,4.0
340,heart,thal,Ordinal,LabelEncoder,BinaryEncoder,0.74,4.0
341,heart,thal,Ordinal,LabelEncoder,JamesSteinEncoder,0.74,4.0
342,heart,thal,Ordinal,LabelEncoder,SumEncoder,0.74,4.0
343,heart,thal,Ordinal,LabelEncoder,HashingEncoder,0.74,4.0
344,heart,thal,Ordinal,LabelEncoder,LabelEncoder,0.74,4.0
345,heart,thal,Ordinal,LabelEncoder,TargetEncoder,0.74,4.0
346,heart,thal,Ordinal,LabelEncoder,HelmertEncoder,0.74,4.0
347,heart,thal,Ordinal,LabelEncoder,FrequencyEncoder,0.75,4.0
348,heart,thal,Ordinal,LabelEncoder,BaseNEncoder,0.74,4.0
349,heart,thal,Ordinal,LabelEncoder,OneHotEncoder,0.74,4.0
350,heart,thal,Ordinal,TargetEncoder,BinaryEncoder,0.74,4.0
351,heart,thal,Ordinal,TargetEncoder,JamesSteinEncoder,0.74,4.0
352,heart,thal,Ordinal,TargetEncoder,SumEncoder,0.74,4.0
353,heart,thal,Ordinal,TargetEncoder,HashingEncoder,0.74,4.0
354,heart,thal,Ordinal,TargetEncoder,LabelEncoder,0.74,4.0
355,heart,thal,Ordinal,TargetEncoder,TargetEncoder,0.74,4.0
