,DataSetName,NominalEncoder,OrdinalEncoder,Score
247,adult,OneHotEncoder,FrequencyEncoder,0.8086974001608148
248,adult,OneHotEncoder,TargetEncoder,0.806888233717502
249,adult,OneHotEncoder,HashingEncoder,0.8084293755025462
250,adult,LabelEncoder,JamesSteinEncoder,0.8005226480836237
251,adult,LabelEncoder,BaseNEncoder,0.8013267220584294
252,adult,LabelEncoder,HelmertEncoder,0.7989815062985794
253,adult,LabelEncoder,SumEncoder,0.7991825247922809
254,adult,LabelEncoder,OneHotEncoder,0.7980434199946395
255,adult,LabelEncoder,LabelEncoder,0.8012597158938622
256,adult,LabelEncoder,BinaryEncoder,0.8013267220584294
257,adult,LabelEncoder,FrequencyEncoder,0.8001206110962209
258,adult,LabelEncoder,TargetEncoder,0.8005226480836237
259,adult,LabelEncoder,HashingEncoder,0.8017957652103993
260,adult,BinaryEncoder,JamesSteinEncoder,0.802599839185205
261,adult,BinaryEncoder,BaseNEncoder,0.8066202090592335
262,adult,BinaryEncoder,HelmertEncoder,0.801594746716698
263,adult,BinaryEncoder,SumEncoder,0.8007236665773251
264,adult,BinaryEncoder,OneHotEncoder,0.8007236665773251
265,adult,BinaryEncoder,LabelEncoder,0.8034709193245778
266,adult,BinaryEncoder,BinaryEncoder,0.8066202090592335
267,adult,BinaryEncoder,FrequencyEncoder,0.8022648083623694
268,adult,BinaryEncoder,TargetEncoder,0.802599839185205
269,adult,BinaryEncoder,HashingEncoder,0.803068882337175
270,adult,FrequencyEncoder,JamesSteinEncoder,0.8110426159206647
271,adult,FrequencyEncoder,BaseNEncoder,0.8057491289198606
272,adult,FrequencyEncoder,HelmertEncoder,0.805883141248995
273,adult,FrequencyEncoder,SumEncoder,0.8070222460466363
274,adult,FrequencyEncoder,OneHotEncoder,0.810707585097829
275,adult,FrequencyEncoder,LabelEncoder,0.8080943446797105
276,adult,FrequencyEncoder,BinaryEncoder,0.8057491289198606
277,adult,FrequencyEncoder,FrequencyEncoder,0.8075582953631734
278,adult,FrequencyEncoder,TargetEncoder,0.8110426159206647
279,adult,FrequencyEncoder,HashingEncoder,0.8070892522112034
280,adult,TargetEncoder,JamesSteinEncoder,0.8108415974269633
281,adult,TargetEncoder,BaseNEncoder,0.8128517823639775
282,adult,TargetEncoder,HelmertEncoder,0.8101045296167247
283,adult,TargetEncoder,SumEncoder,0.8093004556419191
284,adult,TargetEncoder,OneHotEncoder,0.8086303939962477
285,adult,TargetEncoder,LabelEncoder,0.810238541945859
286,adult,TargetEncoder,BinaryEncoder,0.8128517823639775
287,adult,TargetEncoder,FrequencyEncoder,0.8086974001608148
288,adult,TargetEncoder,TargetEncoder,0.8108415974269633
289,adult,TargetEncoder,HashingEncoder,0.8108415974269633
290,adult,HashingEncoder,JamesSteinEncoder,0.7955641919056553
291,adult,HashingEncoder,BaseNEncoder,0.7943580809434468
292,adult,HashingEncoder,HelmertEncoder,0.7963012597158938
293,adult,HashingEncoder,SumEncoder,0.7965022782095953
294,adult,HashingEncoder,OneHotEncoder,0.7943580809434468
295,adult,HashingEncoder,LabelEncoder,0.7954971857410882
296,adult,HashingEncoder,BinaryEncoder,0.7943580809434468
297,adult,HashingEncoder,FrequencyEncoder,0.7902036987402841
298,adult,HashingEncoder,TargetEncoder,0.7955641919056553
299,adult,HashingEncoder,HashingEncoder,0.7944920932725811
300,bridges,JamesSteinEncoder,JamesSteinEncoder,0.7142857142857143
301,bridges,JamesSteinEncoder,BaseNEncoder,0.7142857142857143
302,bridges,JamesSteinEncoder,HelmertEncoder,0.7142857142857143
303,bridges,JamesSteinEncoder,SumEncoder,0.7142857142857143
